Work Order Entered Date,Week of Year,Display Sales Channel Group,Sales Channel Group,Sales Channel,Customer Region,Customer Sub Region (9),Customer Site,Employee Type Code,Completed Data Connects,Completed Data Connects (New Customers),Completed Video Connects,Completed Video Connects (New Customers)
3/30/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,Central,Louisiana,New Orleans,02,1,1,,
3/30/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,Arizona,Phoenix,3Q,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Leadership Support-Cox,Central,Central Region,Kansas/NW Arkansas,A0,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Central Region,Omaha/Sun Valley,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Central Region,Kansas/NW Arkansas,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Louisiana,New Orleans,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Oklahoma,Oklahoma City,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,Central,Oklahoma,Tulsa,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,Florida/Georgia,Pensacola,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,Florida/Georgia,Gainesville/Ocala,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,New England/Cleveland,Rhode Island,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,Virginia,Hampton Roads,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,East,Virginia,Northern Virginia,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,West,Arizona,Phoenix,A1,1,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,West,California,Palos Verdes,A1,0,,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,West,California,San Diego,A1,0,0,,
3/30/2025,13,Inbound,Inbound,Inbound Sales English - Cox,West,Las Vegas,Las Vegas,A1,0,,,
3/30/2025,14,Inbound,Inbound,Inbound Sales English - Cox,Central,Central Region,Kansas/NW Arkansas,A1,0,,,
3/30/2025,15,Inbound,Inbound,Inbound Sales English - Cox,Central,Central Region,Kansas/NW Arkansas,A1,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,Central,Central Region,Omaha/Sun Valley,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,Central,Central Region,Kansas/NW Arkansas,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,Central,Oklahoma,Oklahoma City,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,East,Florida/Georgia,Macon,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,East,New England/Cleveland,Rhode Island,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,East,Virginia,Hampton Roads,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,East,Virginia,Roanoke,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,East,Virginia,Northern Virginia,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,West,Arizona,Phoenix,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,West,California,San Diego,A5,0,,,
3/30/2025,13,Inbound,Inbound,Wireless,West,Las Vegas,Las Vegas,A5,0,,,
3/30/2025,13,Inbound,Inbound,Outsourced Sales Spanish - Vendor,West,California,San Diego,A6,1,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AA,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AB,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AE,0,,,
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AF,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AH,2,2,1,1
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AH,1,,,
3/30/2025,15,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AH,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AK,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AM,18,11,1,1
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,Palos Verdes,AM,0,,,
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AM,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AN,12,8,1,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Las Vegas,Las Vegas,AN,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AO,11,8,0,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,San Diego,AO,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AQ,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AS,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,Arizona,Phoenix,AT,0,,,
3/30/2025,13,Inbound,Inbound,Transfer COE,West,Las Vegas,Las Vegas,B0,1,,,
3/30/2025,15,Inbound,Inbound,Transfer COE,West,California,San Diego,B0,1,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Louisiana,Greater Louisiana,BC,,,1,1
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,Central,Louisiana,Greater Louisiana,BC,1,1,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Louisiana,Greater Louisiana,BE,1,,1,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Louisiana,Greater Louisiana,BN,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,New England/Cleveland,Connecticut,CB,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,New England/Cleveland,Cleveland,CL,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Central Region,Kansas/NW Arkansas,DC,3,1,0,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Central Region,Kansas/NW Arkansas,DE,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Florida/Georgia,Gainesville/Ocala,GB,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Florida/Georgia,Gainesville/Ocala,GC,0,,,
3/30/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,Las Vegas,Las Vegas,GD,4,4,0,
3/30/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,California,San Diego,GE,2,2,,
3/30/2025,13,Retail Stores,Third Party Retail,3rd Party - Exclusive Dealer,West,Las Vegas,Las Vegas,GN,8,6,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Virginia,Hampton Roads,HB,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Virginia,Hampton Roads,HE,0,,,
3/30/2025,14,Retail Stores,Cox Owned Retail,Digital Store,East,Virginia,Hampton Roads,HE,,,1,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,Central,Central Region,Kansas/NW Arkansas,HP,0,,,
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,East,Virginia,Hampton Roads,HP,9,8,1,1
3/30/2025,13,Retail Stores,Cox Owned Retail,Digital Store,West,California,Orange County,JB,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention MOA,East,Florida/Georgia,Macon,JK,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention MOA,East,New England/Cleveland,Rhode Island,JK,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention MOA,East,New England/Cleveland,Cleveland,JK,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention MOA,East,Virginia,Hampton Roads,JK,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention MOA,West,Arizona,Phoenix,JK,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention MOA,West,Las Vegas,Las Vegas,JK,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention Leadership Support - Cox,East,Florida/Georgia,Macon,K0,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,Central,Central Region,Omaha/Sun Valley,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,Central,Central Region,Kansas/NW Arkansas,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,Central,Louisiana,New Orleans,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,Central,Louisiana,Greater Louisiana,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,Central,Oklahoma,Oklahoma City,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,Central,Oklahoma,Tulsa,K1,1,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,East,Florida/Georgia,Macon,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,East,Florida/Georgia,Pensacola,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,East,Florida/Georgia,Gainesville/Ocala,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,East,New England/Cleveland,Connecticut,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,East,New England/Cleveland,Rhode Island,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,East,New England/Cleveland,Cleveland,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,East,Virginia,Hampton Roads,K1,0,,,
3/30/2025,13,Retention,Customer Loyalty / Retention,Retention English - Cox,West,Arizona,Phoenix,K1,1,1,,
